State,City,Date Local,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI,Latitude,Longitude
Alabama,Birmingham,14/07/2015,5.154167,19.5,0,18,0.028083,0.038,9,35,0.154545,0.6,7,0.0,0.145455,0.2,0.0,2.0,32.6010112,-86.6807365
Alabama,Birmingham,15/07/2015,11.975,35.2,20,33,0.021708,0.043,9,40,0.381818,3.2,18,4.0,0.258333,0.4,5.0,5.0,32.6010112,-86.6807365
Alabama,Birmingham,16/07/2015,9.289474,29.5,23,27,0.028875,0.054,10,50,2.590909,17.3,8,24.0,0.2625,0.4,0.0,5.0,32.6010112,-86.6807365
Alabama,Birmingham,17/07/2015,13.335294,28.7,0,26,0.035875,0.057,8,58,5.381818,28.3,6,40.0,0.341667,0.5,3.0,6.0,32.6010112,-86.6807365
Alabama,Birmingham,18/07/2015,14.0125,27.6,23,25,0.025833,0.048,8,44,2.259091,16.0,6,23.0,0.341667,0.5,3.0,6.0,32.6010112,-86.6807365
Alabama,Birmingham,19/07/2015,8.883333,25.5,0,24,0.023917,0.036,7,33,1.140909,10.0,6,14.0,0.329167,0.6,5.0,7.0,32.6010112,-86.6807365
Alabama,Birmingham,20/07/2015,6.670833,15.5,21,14,0.026083,0.042,6,39,0.5,1.4,6,1.0,0.188889,0.3,9.0,3.0,32.6010112,-86.6807365
Alabama,Birmingham,21/07/2015,7.966667,24.9,22,23,0.025,0.04,9,37,0.559091,4.3,20,6.0,0.183333,0.3,3.0,3.0,32.6010112,-86.6807365
Alabama,Birmingham,22/07/2015,12.016667,26.0,20,25,0.030083,0.054,8,50,0.245,0.5,9,0.0,0.2375,0.3,4.0,3.0,32.6010112,-86.6807365
Alabama,Birmingham,23/07/2015,13.508333,23.0,5,22,0.014375,0.027,7,25,0.231818,1.0,8,1.0,0.333333,0.5,10.0,6.0,32.6010112,-86.6807365
Alabama,Birmingham,24/07/2015,10.404167,29.7,18,27,0.018708,0.038,10,35,0.368182,2.1,15,3.0,0.2125,0.3,0.0,3.0,32.6010112,-86.6807365
Alabama,Birmingham,25/07/2015,8.283333,24.7,23,23,0.028458,0.049,9,45,4.340909,45.0,7,62.0,0.266667,0.4,0.0,5.0,32.6010112,-86.6807365
Alabama,Birmingham,26/07/2015,8.6125,22.7,2,21,0.030083,0.05,8,46,0.977273,5.7,0,7.0,0.254167,0.4,4.0,5.0,32.6010112,-86.6807365
Alabama,Birmingham,27/07/2015,15.735294,24.9,20,23,0.021875,0.051,9,47,2.365,15.2,6,21.0,0.327778,0.5,9.0,6.0,32.6010112,-86.6807365
Alabama,Birmingham,28/07/2015,13.618182,32.6,6,30,0.024208,0.051,9,47,1.077273,5.6,6,7.0,0.33125,0.6,5.0,7.0,32.6010112,-86.6807365
Alabama,Birmingham,29/07/2015,15.161111,32.8,15,30,0.019875,0.035,7,32,0.840909,3.7,6,4.0,0.308333,0.5,3.0,6.0,32.6010112,-86.6807365
Alabama,Birmingham,30/07/2015,3.775,10.3,6,9,0.038917,0.051,10,47,0.231818,1.9,10,1.0,0.2,0.3,0.0,3.0,32.6010112,-86.6807365
Alabama,Birmingham,31/07/2015,2.8875,8.7,5,8,0.044625,0.056,9,54,0.522727,1.9,11,1.0,0.1,0.1,0.0,1.0,32.6010112,-86.6807365
